section,name,title,in_report,path
qc,qc_violin_before_filtering,Cell QC distributions (before filtering),True,scratch/results_large_smoke/figures/qc/qc_violin_before_filtering.png
qc,qc_scatter_before_filtering,UMIs vs genes (before filtering),True,scratch/results_large_smoke/figures/qc/qc_scatter_before_filtering.png
qc,qc_cells_per_lane_before_filtering,Cells per lane (before filtering),True,scratch/results_large_smoke/figures/qc/qc_cells_per_lane_before_filtering.png
qc,qc_violin_after_filtering,Cell QC distributions (after filtering),True,scratch/results_large_smoke/figures/qc/qc_violin_after_filtering.png
qc,qc_scatter_after_filtering,UMIs vs genes (after filtering),True,scratch/results_large_smoke/figures/qc/qc_scatter_after_filtering.png
qc,qc_cells_per_lane_after_filtering,Cells per lane (after filtering),True,scratch/results_large_smoke/figures/qc/qc_cells_per_lane_after_filtering.png
guides,guide_assignment_classes,Guide assignment outcome,True,scratch/results_large_smoke/figures/guides/guide_assignment_classes.png
guides,guide_assignment_per_lane,Assignment outcome per lane,True,scratch/results_large_smoke/figures/guides/guide_assignment_per_lane.png
guides,target_representation,Cells per target gene,True,scratch/results_large_smoke/figures/guides/target_representation.png
clustering,pca_variance,PCA variance ratio,True,scratch/results_large_smoke/figures/clustering/pca_variance.png
clustering,umap_clusters,UMAP coloured by Leiden cluster,True,scratch/results_large_smoke/figures/clustering/umap_clusters.png
clustering,umap_qc_metrics,UMAP coloured by QC metrics,True,scratch/results_large_smoke/figures/clustering/umap_qc_metrics.png
clustering,umap_lane,UMAP coloured by lane,True,scratch/results_large_smoke/figures/clustering/umap_lane.png
clustering,umap_assignment_class,UMAP coloured by guide assignment,True,scratch/results_large_smoke/figures/clustering/umap_assignment_class.png
clustering,umap_target_gene,UMAP coloured by target gene,True,scratch/results_large_smoke/figures/clustering/umap_target_gene.png
clustering,cluster_lane_composition,Lane composition per cluster,True,scratch/results_large_smoke/figures/clustering/cluster_lane_composition.png
perturbation,perturbation_volcano,Volcano of perturbation strength,True,scratch/results_large_smoke/figures/perturbation/perturbation_volcano.png
perturbation,perturbation_waterfall,Knockdown strength per target,True,scratch/results_large_smoke/figures/perturbation/perturbation_waterfall.png
perturbation,perturbation_control_comparison,Effect size under both control definitions,True,scratch/results_large_smoke/figures/perturbation/perturbation_control_comparison.png
perturbation/per_gene,perturbation_TARGET1,TARGET1 perturbation effect,True,scratch/results_large_smoke/figures/perturbation/per_gene/perturbation_TARGET1.png
perturbation/per_gene,perturbation_TARGET0,TARGET0 perturbation effect,True,scratch/results_large_smoke/figures/perturbation/per_gene/perturbation_TARGET0.png
perturbation/per_gene,perturbation_TARGET7,TARGET7 perturbation effect,True,scratch/results_large_smoke/figures/perturbation/per_gene/perturbation_TARGET7.png
perturbation/per_gene,perturbation_TARGET5,TARGET5 perturbation effect,True,scratch/results_large_smoke/figures/perturbation/per_gene/perturbation_TARGET5.png
perturbation/per_gene,perturbation_TARGET2,TARGET2 perturbation effect,True,scratch/results_large_smoke/figures/perturbation/per_gene/perturbation_TARGET2.png
perturbation/per_gene,perturbation_TARGET6,TARGET6 perturbation effect,True,scratch/results_large_smoke/figures/perturbation/per_gene/perturbation_TARGET6.png
perturbation/per_gene,perturbation_TARGET4,TARGET4 perturbation effect,True,scratch/results_large_smoke/figures/perturbation/per_gene/perturbation_TARGET4.png
perturbation/per_gene,perturbation_TARGET9,TARGET9 perturbation effect,True,scratch/results_large_smoke/figures/perturbation/per_gene/perturbation_TARGET9.png
perturbation/per_gene,perturbation_TARGET8,TARGET8 perturbation effect,True,scratch/results_large_smoke/figures/perturbation/per_gene/perturbation_TARGET8.png
perturbation/per_gene,perturbation_TARGET3,TARGET3 perturbation effect,True,scratch/results_large_smoke/figures/perturbation/per_gene/perturbation_TARGET3.png
enrichment,enrichment_heatmap,Perturbation enrichment across clusters,True,scratch/results_large_smoke/figures/enrichment/enrichment_heatmap.png
enrichment,enrichment_phenocopy,Perturbation similarity,True,scratch/results_large_smoke/figures/enrichment/enrichment_phenocopy.png
enrichment,enrichment_composition,Cluster composition per perturbation,True,scratch/results_large_smoke/figures/enrichment/enrichment_composition.png
enrichment,enrichment_volcano,Enrichment volcano,True,scratch/results_large_smoke/figures/enrichment/enrichment_volcano.png
enrichment,enrichment_effect_magnitude,Composition shift per perturbation,True,scratch/results_large_smoke/figures/enrichment/enrichment_effect_magnitude.png
enrichment/per_target,enrichment_TARGET4,TARGET4 cluster enrichment,True,scratch/results_large_smoke/figures/enrichment/per_target/enrichment_TARGET4.png
enrichment/per_target,enrichment_TARGET0,TARGET0 cluster enrichment,True,scratch/results_large_smoke/figures/enrichment/per_target/enrichment_TARGET0.png
enrichment/per_target,enrichment_TARGET6,TARGET6 cluster enrichment,True,scratch/results_large_smoke/figures/enrichment/per_target/enrichment_TARGET6.png
enrichment/per_target,enrichment_TARGET5,TARGET5 cluster enrichment,True,scratch/results_large_smoke/figures/enrichment/per_target/enrichment_TARGET5.png
enrichment/per_target,enrichment_TARGET9,TARGET9 cluster enrichment,True,scratch/results_large_smoke/figures/enrichment/per_target/enrichment_TARGET9.png
enrichment/per_target,enrichment_TARGET2,TARGET2 cluster enrichment,True,scratch/results_large_smoke/figures/enrichment/per_target/enrichment_TARGET2.png
enrichment/per_target,enrichment_TARGET1,TARGET1 cluster enrichment,True,scratch/results_large_smoke/figures/enrichment/per_target/enrichment_TARGET1.png
enrichment/per_target,enrichment_TARGET7,TARGET7 cluster enrichment,True,scratch/results_large_smoke/figures/enrichment/per_target/enrichment_TARGET7.png
enrichment/per_target,enrichment_TARGET8,TARGET8 cluster enrichment,True,scratch/results_large_smoke/figures/enrichment/per_target/enrichment_TARGET8.png
enrichment/per_target,enrichment_TARGET3,TARGET3 cluster enrichment,True,scratch/results_large_smoke/figures/enrichment/per_target/enrichment_TARGET3.png
modules,regulome_heatmap,Co-functional modules and gene programs,True,scratch/results_large_smoke/figures/modules/regulome_heatmap.png
modules,module_program_strength,Module × program strength,True,scratch/results_large_smoke/figures/modules/module_program_strength.png
modules,module_program_alluvial,Module → program alluvial,True,scratch/results_large_smoke/figures/modules/module_program_alluvial.png
modules,module_correlation,Perturbation correlation,True,scratch/results_large_smoke/figures/modules/module_correlation.png
modules,program_activity_by_cluster,Program activity by cluster,True,scratch/results_large_smoke/figures/modules/program_activity_by_cluster.png
modules,program_P1_umap,Program P1 activity (UMAP),True,scratch/results_large_smoke/figures/modules/program_P1_umap.png
modules,program_P2_umap,Program P2 activity (UMAP),True,scratch/results_large_smoke/figures/modules/program_P2_umap.png
modules,program_P3_umap,Program P3 activity (UMAP),True,scratch/results_large_smoke/figures/modules/program_P3_umap.png
modules,program_P4_umap,Program P4 activity (UMAP),True,scratch/results_large_smoke/figures/modules/program_P4_umap.png
modules,module_connectivity,Module-module connectivity,True,scratch/results_large_smoke/figures/modules/module_connectivity.png
ps_score,ps_outcome_by_target,Per-cell perturbation outcome,True,scratch/results_large_smoke/figures/ps_score/ps_outcome_by_target.png
ps_score,ps_escaper_fraction,Escaper fraction per target,True,scratch/results_large_smoke/figures/ps_score/ps_escaper_fraction.png
