gene,program,program_size
GENE100,P1,33
GENE30,P1,33
GENE114,P1,33
TARGET4,P1,33
GENE84,P1,33
GENE83,P1,33
GENE68,P1,33
GENE60,P1,33
GENE45,P1,33
GENE107,P1,33
TARGET5,P1,33
GENE87,P1,33
GENE38,P1,33
GENE110,P1,33
GENE99,P1,33
TARGET3,P1,33
GENE70,P1,33
TARGET6,P1,33
GENE86,P1,33
GENE58,P1,33
GENE95,P1,33
GENE112,P1,33
GENE65,P1,33
GENE40,P1,33
GENE119,P1,33
GENE47,P1,33
GENE92,P1,33
GENE54,P1,33
GENE51,P1,33
GENE26,P1,33
GENE22,P1,33
GENE11,P1,33
GENE42,P1,33
GENE39,P2,31
GENE82,P2,31
GENE64,P2,31
GENE105,P2,31
GENE116,P2,31
TARGET2,P2,31
GENE31,P2,31
GENE76,P2,31
GENE118,P2,31
GENE28,P2,31
GENE80,P2,31
GENE62,P2,31
GENE73,P2,31
GENE69,P2,31
GENE85,P2,31
GENE98,P2,31
GENE53,P2,31
GENE71,P2,31
GENE21,P2,31
GENE72,P2,31
GENE52,P2,31
GENE14,P2,31
GENE109,P2,31
GENE104,P2,31
GENE97,P2,31
GENE91,P2,31
GENE77,P2,31
GENE117,P2,31
GENE23,P2,31
GENE35,P2,31
GENE32,P2,31
GENE27,P3,20
GENE66,P3,20
TARGET8,P3,20
GENE34,P3,20
GENE78,P3,20
TARGET0,P3,20
GENE16,P3,20
GENE115,P3,20
GENE33,P3,20
GENE89,P3,20
GENE43,P3,20
GENE108,P3,20
GENE48,P3,20
GENE50,P3,20
GENE20,P3,20
GENE75,P3,20
GENE25,P3,20
GENE74,P3,20
GENE94,P3,20
GENE79,P3,20
GENE24,P4,36
GENE18,P4,36
GENE96,P4,36
GENE19,P4,36
GENE106,P4,36
TARGET1,P4,36
GENE113,P4,36
GENE15,P4,36
GENE46,P4,36
GENE61,P4,36
GENE55,P4,36
GENE44,P4,36
GENE56,P4,36
GENE49,P4,36
GENE93,P4,36
GENE63,P4,36
GENE41,P4,36
TARGET7,P4,36
GENE37,P4,36
GENE59,P4,36
GENE17,P4,36
GENE111,P4,36
TARGET9,P4,36
GENE101,P4,36
GENE13,P4,36
GENE81,P4,36
GENE90,P4,36
GENE67,P4,36
GENE102,P4,36
GENE103,P4,36
GENE57,P4,36
GENE88,P4,36
GENE36,P4,36
GENE29,P4,36
GENE10,P4,36
GENE12,P4,36
