target_gene,n_cells,mean_lochness_in_own_cells,median_lochness_in_own_cells,max_lochness,pct_own_cells_enriched
TARGET3,30,0.42857143,0.42857146,3.2857141,26.666666666666668
TARGET0,30,0.3809524,0.42857146,3.2857141,26.666666666666668
TARGET1,30,0.2857143,0.42857146,3.2857141,26.666666666666668
TARGET9,30,0.2857143,0.42857146,3.2857141,30.0
TARGET4,30,0.047619063,0.42857146,3.2857141,13.333333333333334
TARGET6,30,-0.047619034,-0.28571427,3.2857141,13.333333333333334
TARGET5,30,-0.09523809,-1.0,3.2857141,10.0
TARGET2,30,-0.19047616,-1.0,1.8571429,10.0
TARGET7,30,-0.38095236,-1.0,1.8571429,3.3333333333333335
TARGET8,30,-0.47619048,-1.0,0.42857146,0.0
