Rank,Target,Perturbed cells,Control cells,Control cells tested,log2FC,% knockdown,KS stat,KS FDR,Effective,log2FC (other),KS FDR (other)
1,TARGET1,30,300,300,-7.27,99.4,0.79,1.97e-17,True,-7.17,1.52e-16
2,TARGET0,30,300,300,-7.16,99.3,0.793,1.97e-17,True,-7.26,2.9e-17
3,TARGET7,30,300,300,-0.347,21.4,0.183,0.472,False,-0.149,0.999
4,TARGET5,30,300,300,-0.313,19.5,0.243,0.228,False,-0.327,0.224
5,TARGET2,30,300,300,-0.23,14.7,0.167,0.472,False,-0.175,0.999
6,TARGET6,30,300,300,-0.142,9.36,0.177,0.472,False,-0.148,0.474
7,TARGET4,30,300,300,-0.0456,3.11,0.08,0.991,False,-0.00119,0.999
8,TARGET9,30,300,300,0.13,-9.43,0.163,0.472,False,0.137,0.506
9,TARGET8,30,300,300,0.273,-20.8,0.173,0.472,False,0.491,0.172
10,TARGET3,30,300,300,0.292,-22.5,0.187,0.472,False,0.418,0.121
