rank,target_gene,n_perturbed,n_control_ntc,n_control_tested_ntc,mean_lognorm_perturbed_ntc,mean_lognorm_control_ntc,log2fc_ntc,pct_knockdown_ntc,pct_cells_expressing_perturbed_ntc,pct_cells_expressing_control_ntc,ks_stat_ntc,ks_pval_ntc,mwu_pval_less_ntc,n_control_other,n_control_tested_other,mean_lognorm_perturbed_other,mean_lognorm_control_other,log2fc_other,pct_knockdown_other,pct_cells_expressing_perturbed_other,pct_cells_expressing_control_other,ks_stat_other,ks_pval_other,mwu_pval_less_other,ks_fdr_ntc,mwu_fdr_ntc,is_hit_ntc,ks_fdr_other,mwu_fdr_other,is_hit_other
1,TARGET1,30,300,300,0.0,0.8089783787727356,-7.273907308595661,99.35384648015835,0.0,79.0,0.79,3.9412026071501245e-18,2.687780553678465e-13,270,270,0.0,0.7710028290748596,-7.166217665823515,99.30376872651685,0.0,77.77777777777779,0.7777777777777778,3.040679018048452e-17,7.017118006449885e-13,1.9706013035750623e-17,1.3438902768392325e-12,True,1.520339509024226e-16,3.5085590032249425e-12,True
2,TARGET0,30,300,300,0.0,0.7702723145484924,-7.160182392196953,99.30085005870268,0.0,79.33333333333333,0.7933333333333333,2.5481004383766344e-18,2.1904244910941895e-13,270,270,0.0,0.8004253506660461,-7.258081546073544,99.34671942677012,0.0,79.62962962962963,0.7962962962962963,2.9008385420456354e-18,2.2996120524303165e-13,1.9706013035750623e-17,1.3438902768392325e-12,True,2.900838542045635e-17,2.2996120524303165e-12,True
3,TARGET7,30,300,300,0.6978844404220581,0.8686968088150024,-0.34712137287325867,21.384884896026424,66.66666666666666,82.33333333333334,0.18333333333333332,0.2893163990164772,0.05624167621135712,270,270,0.6978844404220581,0.7680811285972595,-0.14947772556327893,9.842321389430086,66.66666666666666,74.44444444444444,0.08888888888888889,0.9738205885937189,0.2716189920902252,0.472134053486709,0.18747225403785706,False,0.9993074630929705,0.5470076203346252,False
4,TARGET5,30,300,300,0.68537437915802,0.7748206853866577,-0.31312247798993287,19.510219729851453,76.66666666666667,73.33333333333333,0.24333333333333335,0.06837399993783032,0.09845532476902008,270,270,0.68537437915802,0.8136306405067444,-0.32670753471825753,20.26458990346106,76.66666666666667,81.48148148148148,0.22592592592592592,0.11194684818844589,0.04355154186487198,0.22791333312610107,0.2461383119225502,False,0.22389369637689177,0.14517180621623993,False
5,TARGET2,30,300,300,0.7170016765594482,0.7876324653625488,-0.22995023822145938,14.733569844051065,76.66666666666667,75.33333333333333,0.16666666666666666,0.40001241790509984,0.22383715212345123,270,270,0.7170016765594482,0.7750712633132935,-0.17520057863219538,11.435562105024388,76.66666666666667,77.4074074074074,0.11481481481481481,0.8385601842452518,0.3129127025604248,0.472134053486709,0.4422380526860555,False,0.9993074630929705,0.5470076203346252,False
6,TARGET6,30,300,300,0.7627124190330505,0.8089705109596252,-0.1418364953174872,9.36353467005031,80.0,79.33333333333333,0.17666666666666667,0.33075458325005264,0.2653428316116333,270,270,0.7627124190330505,0.8049976229667664,-0.14839776631225593,9.774806725346352,80.0,78.14814814814814,0.18518518518518517,0.2844270039361069,0.32820457220077515,0.472134053486709,0.4422380526860555,False,0.47404500656017823,0.5470076203346252,False
7,TARGET4,30,300,300,0.7565610408782959,0.7661402225494385,-0.0455517668858255,3.1080822561695753,76.66666666666667,74.33333333333333,0.08,0.9905663967621381,0.38574570417404175,270,270,0.7565610408782959,0.7553086876869202,-0.001194372116288389,0.0827533070434816,76.66666666666667,75.18518518518519,0.06666666666666667,0.9993074630929706,0.4290338158607483,0.9905663967621381,0.5510652916772025,False,0.9993074630929705,0.6129054512296405,False
8,TARGET9,30,300,300,0.8293951749801636,0.7838073968887329,0.13000082220405726,-9.429432490811607,76.66666666666667,77.66666666666666,0.16333333333333333,0.4249206481380381,0.7437694668769836,270,270,0.8293951749801636,0.7735192179679871,0.13683366604042985,-9.948937757172715,76.66666666666667,77.03703703703704,0.17407407407407408,0.35443679601922834,0.7757269740104675,0.472134053486709,0.8598330616950989,False,0.5063382800274691,0.9696587175130844,False
9,TARGET8,30,300,300,0.9179668426513672,0.8390690088272095,0.27311810880985815,-20.84167685406184,76.66666666666667,81.33333333333333,0.17333333333333334,0.3529055149874407,0.8598330616950989,270,270,0.9179668426513672,0.7457869648933411,0.4913402872768482,-40.5750234241951,76.66666666666667,76.29629629629629,0.24444444444444444,0.06877077363337883,0.9755748510360718,0.472134053486709,0.8598330616950989,False,0.17192693408344706,0.9755748510360718,False
10,TARGET3,30,300,300,0.8892170786857605,0.7891745567321777,0.2922907245337524,-22.458313927548158,76.66666666666667,77.33333333333333,0.18666666666666668,0.2700300807820738,0.8380007147789001,270,270,0.8892170786857605,0.7433434128761292,0.41843686370743294,-33.64787173750048,76.66666666666667,77.4074074074074,0.26666666666666666,0.03636650445059628,0.9380621910095215,0.472134053486709,0.8598330616950989,False,0.1212216815019876,0.9755748510360718,False
