Target,Cluster,Cells in cluster,% of target,% of reference,Odds ratio,FDR,Direction,Guides agreeing,Guides tested,Low power,Significant
TARGET6,13,0,0,7.78,0.19,0.999,depleted,,,False,False
TARGET0,13,0,0,7.78,0.19,0.999,depleted,,,False,False
TARGET5,5,4,13.3,2.96,5.24,0.999,enriched,,,True,False
TARGET4,4,0,0,7.41,0.2,0.999,depleted,,,False,False
TARGET9,4,0,0,7.41,0.2,0.999,depleted,,,False,False
TARGET1,2,0,0,7.04,0.211,0.999,depleted,,,False,False
TARGET0,2,0,0,7.04,0.211,0.999,depleted,,,False,False
TARGET2,10,0,0,7.04,0.211,0.999,depleted,,,False,False
TARGET5,6,0,0,6.67,0.224,0.999,depleted,,,False,False
TARGET8,6,0,0,6.67,0.224,0.999,depleted,,,False,False
TARGET4,0,0,0,6.67,0.224,0.999,depleted,,,False,False
TARGET8,0,0,0,6.67,0.224,0.999,depleted,,,False,False
TARGET9,13,6,20,5.56,4.37,0.999,enriched,,,False,False
TARGET7,7,0,0,5.93,0.253,0.999,depleted,,,False,False
TARGET5,4,5,16.7,5.56,3.56,0.999,enriched,,,False,False
TARGET9,9,0,0,5.19,0.29,0.999,depleted,,,False,False
TARGET1,9,0,0,5.19,0.29,0.999,depleted,,,False,False
TARGET6,9,0,0,5.19,0.29,0.999,depleted,,,False,False
TARGET0,9,0,0,5.19,0.29,0.999,depleted,,,False,False
TARGET6,8,5,16.7,6.3,3.12,0.999,enriched,,,False,False
TARGET1,0,4,13.3,5.19,3,0.999,enriched,,,False,False
TARGET0,6,4,13.3,5.19,3,0.999,enriched,,,False,False
TARGET7,5,0,0,4.44,0.339,0.999,depleted,,,False,False
TARGET4,5,0,0,4.44,0.339,0.999,depleted,,,False,False
TARGET2,5,0,0,4.44,0.339,0.999,depleted,,,False,False
TARGET0,5,0,0,4.44,0.339,0.999,depleted,,,False,False
TARGET4,9,3,10,4.07,2.87,0.999,enriched,,,False,False
TARGET2,9,3,10,4.07,2.87,0.999,enriched,,,False,False
TARGET7,9,3,10,4.07,2.87,0.999,enriched,,,False,False
TARGET6,2,4,13.3,5.56,2.8,0.999,enriched,,,False,False
TARGET4,2,4,13.3,5.56,2.8,0.999,enriched,,,False,False
TARGET4,10,4,13.3,5.56,2.8,0.999,enriched,,,False,False
TARGET8,10,4,13.3,5.56,2.8,0.999,enriched,,,False,False
TARGET2,13,4,13.3,6.3,2.46,0.999,enriched,,,False,False
TARGET3,7,3,10,4.81,2.43,0.999,enriched,,,False,False
TARGET4,7,3,10,4.81,2.43,0.999,enriched,,,False,False
TARGET2,1,7,23.3,11.5,2.43,0.999,enriched,,,False,False
TARGET0,12,4,13.3,6.67,2.32,0.999,enriched,,,False,False
TARGET8,3,4,13.3,7.04,2.19,0.999,enriched,,,False,False
TARGET1,5,2,6.67,3.7,2.18,0.999,enriched,,,False,False
TARGET3,5,2,6.67,3.7,2.18,0.999,enriched,,,False,False
TARGET6,5,2,6.67,3.7,2.18,0.999,enriched,,,False,False
TARGET0,0,3,10,5.56,2.1,0.999,enriched,,,False,False
TARGET3,0,3,10,5.56,2.1,0.999,enriched,,,False,False
TARGET7,6,3,10,5.56,2.1,0.999,enriched,,,False,False
TARGET0,10,3,10,5.93,1.96,0.999,enriched,,,False,False
TARGET7,2,3,10,5.93,1.96,0.999,enriched,,,False,False
TARGET0,11,6,20,11.9,1.95,0.999,enriched,,,False,False
TARGET1,4,3,10,6.3,1.84,0.999,enriched,,,False,False
TARGET3,4,3,10,6.3,1.84,0.999,enriched,,,False,False
TARGET6,4,3,10,6.3,1.84,0.999,enriched,,,False,False
TARGET5,9,2,6.67,4.44,1.81,0.999,enriched,,,False,False
TARGET8,9,2,6.67,4.44,1.81,0.999,enriched,,,False,False
TARGET2,3,1,3.33,8.15,0.562,0.999,depleted,,,False,False
TARGET4,11,2,6.67,13.3,0.564,0.999,depleted,,,False,False
TARGET3,1,2,6.67,13.3,0.564,0.999,depleted,,,False,False
TARGET0,1,2,6.67,13.3,0.564,0.999,depleted,,,False,False
TARGET4,1,2,6.67,13.3,0.564,0.999,depleted,,,False,False
TARGET4,13,3,10,6.67,1.74,0.999,enriched,,,False,False
TARGET1,12,1,3.33,7.78,0.59,0.999,depleted,,,False,False
TARGET6,12,1,3.33,7.78,0.59,0.999,depleted,,,False,False
TARGET5,8,1,3.33,7.78,0.59,0.999,depleted,,,False,False
TARGET3,8,1,3.33,7.78,0.59,0.999,depleted,,,False,False
TARGET1,8,1,3.33,7.78,0.59,0.999,depleted,,,False,False
TARGET9,12,1,3.33,7.78,0.59,0.999,depleted,,,False,False
TARGET5,12,1,3.33,7.78,0.59,0.999,depleted,,,False,False
TARGET3,12,3,10,7.04,1.64,0.999,enriched,,,False,False
TARGET4,12,3,10,7.04,1.64,0.999,enriched,,,False,False
TARGET7,8,3,10,7.04,1.64,0.999,enriched,,,False,False
TARGET7,12,3,10,7.04,1.64,0.999,enriched,,,False,False
TARGET8,12,3,10,7.04,1.64,0.999,enriched,,,False,False
TARGET9,8,3,10,7.04,1.64,0.999,enriched,,,False,False
TARGET1,13,1,3.33,7.41,0.621,0.999,depleted,,,False,False
TARGET7,13,1,3.33,7.41,0.621,0.999,depleted,,,False,False
TARGET5,3,3,10,7.41,1.56,0.999,enriched,,,False,False
TARGET9,3,3,10,7.41,1.56,0.999,enriched,,,False,False
TARGET1,7,2,6.67,5.19,1.55,0.999,enriched,,,False,False
TARGET0,7,2,6.67,5.19,1.55,0.999,enriched,,,False,False
TARGET8,7,2,6.67,5.19,1.55,0.999,enriched,,,False,False
TARGET9,11,5,16.7,12.2,1.53,0.999,enriched,,,False,False
TARGET6,11,5,16.7,12.2,1.53,0.999,enriched,,,False,False
TARGET1,11,5,16.7,12.2,1.53,0.999,enriched,,,False,False
TARGET1,1,5,16.7,12.2,1.53,0.999,enriched,,,False,False
TARGET7,1,5,16.7,12.2,1.53,0.999,enriched,,,False,False
TARGET8,4,1,3.33,7.04,0.656,0.999,depleted,,,False,False
TARGET2,4,1,3.33,7.04,0.656,0.999,depleted,,,False,False
TARGET7,10,1,3.33,6.67,0.694,0.999,depleted,,,False,False
TARGET6,10,1,3.33,6.67,0.694,0.999,depleted,,,False,False
TARGET3,2,1,3.33,6.67,0.694,0.999,depleted,,,False,False
TARGET5,10,1,3.33,6.67,0.694,0.999,depleted,,,False,False
TARGET9,2,1,3.33,6.67,0.694,0.999,depleted,,,False,False
TARGET9,10,1,3.33,6.67,0.694,0.999,depleted,,,False,False
TARGET1,6,2,6.67,5.93,1.35,0.999,enriched,,,False,False
TARGET2,0,2,6.67,5.93,1.35,0.999,enriched,,,False,False
TARGET4,6,2,6.67,5.93,1.35,0.999,enriched,,,False,False
TARGET3,6,2,6.67,5.93,1.35,0.999,enriched,,,False,False
TARGET2,6,2,6.67,5.93,1.35,0.999,enriched,,,False,False
TARGET6,0,2,6.67,5.93,1.35,0.999,enriched,,,False,False
TARGET9,0,2,6.67,5.93,1.35,0.999,enriched,,,False,False
TARGET9,6,2,6.67,5.93,1.35,0.999,enriched,,,False,False
