target_gene,cluster,control,n_target_cells,n_in_cluster,pct_of_target,n_reference_cells,pct_of_reference,odds_ratio,log2_odds_ratio,direction,pval,low_power,fdr,significant,guides_concordant,guides_tested
TARGET5,5,other,30,4,13.333333333333334,270,2.962962962962963,5.244173140954495,2.390715318182259,enriched,0.022921180311120167,True,0.9993958332546766,False,,
TARGET5,4,ntc,30,5,16.666666666666668,300,4.0,4.978039215686275,2.3155775955365594,enriched,0.012559128313136375,False,0.8887674902311655,False,,
TARGET9,13,other,30,6,20.0,270,5.555555555555555,4.373271889400922,2.1287130445766302,enriched,0.011163414357487364,False,0.9993958332546766,False,,
TARGET1,0,ntc,30,4,13.333333333333334,300,4.0,3.919245283018868,1.970575865749871,enriched,0.04671577907410227,False,0.8887674902311655,False,,
TARGET5,5,ntc,30,4,13.333333333333334,300,4.0,3.919245283018868,1.970575865749871,enriched,0.04671577907410227,False,0.8887674902311655,False,,
TARGET3,7,ntc,30,3,10.0,300,3.0,3.905263157894737,1.9654197682898555,enriched,0.0851085064519394,True,0.8887674902311655,False,,
TARGET4,7,ntc,30,3,10.0,300,3.0,3.905263157894737,1.9654197682898555,enriched,0.0851085064519394,True,0.8887674902311655,False,,
TARGET5,4,other,30,5,16.666666666666668,270,5.555555555555555,3.555344718532574,1.8299894472165477,enriched,0.03747132141788717,False,0.9993958332546766,False,,
TARGET6,8,other,30,5,16.666666666666668,270,6.296296296296297,3.1243697478991597,1.6435651967241758,enriched,0.05493816594189945,False,0.9993958332546766,False,,
TARGET2,1,ntc,30,7,23.333333333333332,300,9.333333333333334,3.051511758118701,1.609524149430428,enriched,0.027420210113911093,False,0.8887674902311655,False,,
TARGET0,6,other,30,4,13.333333333333334,270,5.185185185185185,3.003903708523097,1.586838567358595,enriched,0.09186856323754536,False,0.9993958332546766,False,,
TARGET1,0,other,30,4,13.333333333333334,270,5.185185185185185,3.003903708523097,1.586838567358595,enriched,0.09186856323754536,False,0.9993958332546766,False,,
TARGET0,0,ntc,30,3,10.0,300,4.0,2.9374545454545453,1.5545665274037022,enriched,0.14602307850876237,False,0.8887674902311655,False,,
TARGET1,4,ntc,30,3,10.0,300,4.0,2.9374545454545453,1.5545665274037022,enriched,0.14602307850876237,False,0.8887674902311655,False,,
TARGET3,0,ntc,30,3,10.0,300,4.0,2.9374545454545453,1.5545665274037022,enriched,0.14602307850876237,False,0.8887674902311655,False,,
TARGET3,4,ntc,30,3,10.0,300,4.0,2.9374545454545453,1.5545665274037022,enriched,0.14602307850876237,False,0.8887674902311655,False,,
TARGET6,4,ntc,30,3,10.0,300,4.0,2.9374545454545453,1.5545665274037022,enriched,0.14602307850876237,False,0.8887674902311655,False,,
TARGET2,9,other,30,3,10.0,270,4.074074074074074,2.8719367588932805,1.5220239808338123,enriched,0.15418085364707285,False,0.9993958332546766,False,,
TARGET4,9,other,30,3,10.0,270,4.074074074074074,2.8719367588932805,1.5220239808338123,enriched,0.15418085364707285,False,0.9993958332546766,False,,
TARGET7,9,other,30,3,10.0,270,4.074074074074074,2.8719367588932805,1.5220239808338123,enriched,0.15418085364707285,False,0.9993958332546766,False,,
TARGET4,2,other,30,4,13.333333333333334,270,5.555555555555555,2.799147900182593,1.4849877174298594,enriched,0.10830030196511742,False,0.9993958332546766,False,,
TARGET4,10,other,30,4,13.333333333333334,270,5.555555555555555,2.799147900182593,1.4849877174298594,enriched,0.10830030196511742,False,0.9993958332546766,False,,
TARGET6,2,other,30,4,13.333333333333334,270,5.555555555555555,2.799147900182593,1.4849877174298594,enriched,0.10830030196511742,False,0.9993958332546766,False,,
TARGET8,10,other,30,4,13.333333333333334,270,5.555555555555555,2.799147900182593,1.4849877174298594,enriched,0.10830030196511742,False,0.9993958332546766,False,,
TARGET0,11,ntc,30,6,20.0,300,8.666666666666666,2.7481709664998073,1.4584717584678832,enriched,0.055770099216305075,False,0.8887674902311655,False,,
TARGET0,7,ntc,30,2,6.666666666666667,300,3.0,2.691597414589104,1.4284626404795315,enriched,0.26333412207818496,True,1.0,False,,
TARGET1,7,ntc,30,2,6.666666666666667,300,3.0,2.691597414589104,1.4284626404795315,enriched,0.26333412207818496,True,1.0,False,,
TARGET8,7,ntc,30,2,6.666666666666667,300,3.0,2.691597414589104,1.4284626404795315,enriched,0.26333412207818496,True,1.0,False,,
TARGET2,13,other,30,4,13.333333333333334,270,6.296296296296297,2.4598382749326144,1.2985634669374873,enriched,0.14490519527313978,False,0.9993958332546766,False,,
TARGET4,2,ntc,30,4,13.333333333333334,300,6.333333333333333,2.451378809869376,1.2935934400970945,enriched,0.1441371965617029,False,0.8887674902311655,False,,
TARGET6,2,ntc,30,4,13.333333333333334,300,6.333333333333333,2.451378809869376,1.2935934400970945,enriched,0.1441371965617029,False,0.8887674902311655,False,,
TARGET3,7,other,30,3,10.0,270,4.814814814814815,2.4276094276094278,1.2795363284400567,enriched,0.20698540589167613,False,0.9993958332546766,False,,
TARGET4,7,other,30,3,10.0,270,4.814814814814815,2.4276094276094278,1.2795363284400567,enriched,0.20698540589167613,False,0.9993958332546766,False,,
TARGET2,1,other,30,7,23.333333333333332,270,11.481481481481481,2.426545086119554,1.278903666167145,enriched,0.07991524433649795,False,0.9993958332546766,False,,
TARGET0,12,ntc,30,4,13.333333333333334,300,6.666666666666667,2.3235158766682007,1.2163095028698223,enriched,0.2551067409133865,False,1.0,False,,
TARGET0,12,other,30,4,13.333333333333334,270,6.666666666666667,2.31769505354411,1.2126907588893205,enriched,0.2548873595254585,False,0.9993958332546766,False,,
TARGET9,13,ntc,30,6,20.0,300,10.333333333333334,2.2698412698412698,1.182591413278473,enriched,0.12589422547088677,False,0.8887674902311655,False,,
TARGET1,11,ntc,30,5,16.666666666666668,300,8.666666666666666,2.2341842397336293,1.159748161107801,enriched,0.1807202045184366,False,0.9370677271326342,False,,
TARGET6,11,ntc,30,5,16.666666666666668,300,8.666666666666666,2.2341842397336293,1.159748161107801,enriched,0.1807202045184366,False,0.9370677271326342,False,,
TARGET9,11,ntc,30,5,16.666666666666668,300,8.666666666666666,2.2341842397336293,1.159748161107801,enriched,0.1807202045184366,False,0.9370677271326342,False,,
TARGET8,3,ntc,30,4,13.333333333333334,300,7.0,2.207547169811321,1.1424442650202054,enriched,0.26481723782637595,False,1.0,False,,
TARGET8,3,other,30,4,13.333333333333334,270,7.037037037037037,2.1901306240928884,1.131016917822392,enriched,0.26616062159050136,False,0.9993958332546766,False,,
TARGET1,5,other,30,2,6.666666666666667,270,3.7037037037037037,2.1762740183792815,1.1218602202223686,enriched,0.3417519733741907,False,0.9993958332546766,False,,
TARGET3,5,other,30,2,6.666666666666667,270,3.7037037037037037,2.1762740183792815,1.1218602202223686,enriched,0.3417519733741907,False,0.9993958332546766,False,,
TARGET6,5,other,30,2,6.666666666666667,270,3.7037037037037037,2.1762740183792815,1.1218602202223686,enriched,0.3417519733741907,False,0.9993958332546766,False,,
TARGET0,0,other,30,3,10.0,270,5.555555555555555,2.0979472140762465,1.0689783790836909,enriched,0.40496920265079706,False,0.9993958332546766,False,,
TARGET3,0,other,30,3,10.0,270,5.555555555555555,2.0979472140762465,1.0689783790836909,enriched,0.40496920265079706,False,0.9993958332546766,False,,
TARGET7,6,other,30,3,10.0,270,5.555555555555555,2.0979472140762465,1.0689783790836909,enriched,0.40496920265079706,False,0.9993958332546766,False,,
TARGET1,1,ntc,30,5,16.666666666666668,300,9.333333333333334,2.062263501891985,1.0442286821653488,enriched,0.20254544555299006,False,0.9778055992213314,False,,
TARGET7,1,ntc,30,5,16.666666666666668,300,9.333333333333334,2.062263501891985,1.0442286821653488,enriched,0.20254544555299006,False,0.9778055992213314,False,,
TARGET0,4,ntc,30,2,6.666666666666667,300,4.0,2.024561403508772,1.0176093995933786,enriched,0.36946450223674787,False,1.0,False,,
TARGET1,5,ntc,30,2,6.666666666666667,300,4.0,2.024561403508772,1.0176093995933786,enriched,0.36946450223674787,False,1.0,False,,
TARGET2,0,ntc,30,2,6.666666666666667,300,4.0,2.024561403508772,1.0176093995933786,enriched,0.36946450223674787,False,1.0,False,,
TARGET3,5,ntc,30,2,6.666666666666667,300,4.0,2.024561403508772,1.0176093995933786,enriched,0.36946450223674787,False,1.0,False,,
TARGET6,0,ntc,30,2,6.666666666666667,300,4.0,2.024561403508772,1.0176093995933786,enriched,0.36946450223674787,False,1.0,False,,
TARGET6,5,ntc,30,2,6.666666666666667,300,4.0,2.024561403508772,1.0176093995933786,enriched,0.36946450223674787,False,1.0,False,,
TARGET7,4,ntc,30,2,6.666666666666667,300,4.0,2.024561403508772,1.0176093995933786,enriched,0.36946450223674787,False,1.0,False,,
TARGET9,0,ntc,30,2,6.666666666666667,300,4.0,2.024561403508772,1.0176093995933786,enriched,0.36946450223674787,False,1.0,False,,
TARGET6,8,ntc,30,5,16.666666666666668,300,9.666666666666666,1.9850448654037887,0.989171615108322,enriched,0.21507657463804764,False,1.0,False,,
TARGET0,10,other,30,3,10.0,270,5.925925925925926,1.9630853994490358,0.9731229352501863,enriched,0.4190159821283018,False,0.9993958332546766,False,,
TARGET7,2,other,30,3,10.0,270,5.925925925925926,1.9630853994490358,0.9731229352501863,enriched,0.4190159821283018,False,0.9993958332546766,False,,
TARGET0,11,other,30,6,20.0,270,11.851851851851851,1.9469387755102041,0.961207517002941,enriched,0.24188399588071952,False,0.9993958332546766,False,,
TARGET4,10,ntc,30,4,13.333333333333334,300,8.0,1.9164420485175202,0.938430372998612,enriched,0.30296351273300465,False,1.0,False,,
TARGET8,10,ntc,30,4,13.333333333333334,300,8.0,1.9164420485175202,0.938430372998612,enriched,0.30296351273300465,False,1.0,False,,
TARGET1,4,other,30,3,10.0,270,6.296296296296297,1.8436363636363637,0.8825541285913187,enriched,0.4349145480025321,False,0.9993958332546766,False,,
TARGET3,4,other,30,3,10.0,270,6.296296296296297,1.8436363636363637,0.8825541285913187,enriched,0.4349145480025321,False,0.9993958332546766,False,,
TARGET6,4,other,30,3,10.0,270,6.296296296296297,1.8436363636363637,0.8825541285913187,enriched,0.4349145480025321,False,0.9993958332546766,False,,
TARGET7,2,ntc,30,3,10.0,300,6.333333333333333,1.8372960372960372,0.8775841017509256,enriched,0.43627824671346305,False,1.0,False,,
TARGET5,9,other,30,2,6.666666666666667,270,4.444444444444445,1.8140350877192983,0.8592023612628307,enriched,0.6389284313540903,False,0.9993958332546766,False,,
TARGET8,9,other,30,2,6.666666666666667,270,4.444444444444445,1.8140350877192983,0.8592023612628307,enriched,0.6389284313540903,False,0.9993958332546766,False,,
TARGET3,12,ntc,30,3,10.0,300,6.666666666666667,1.7414634146341463,0.8003001645236536,enriched,0.4518569240713592,False,1.0,False,,
TARGET4,12,ntc,30,3,10.0,300,6.666666666666667,1.7414634146341463,0.8003001645236536,enriched,0.4518569240713592,False,1.0,False,,
TARGET7,12,ntc,30,3,10.0,300,6.666666666666667,1.7414634146341463,0.8003001645236536,enriched,0.4518569240713592,False,1.0,False,,
TARGET8,12,ntc,30,3,10.0,300,6.666666666666667,1.7414634146341463,0.8003001645236536,enriched,0.4518569240713592,False,1.0,False,,
TARGET4,13,other,30,3,10.0,270,6.666666666666667,1.7371007371007372,0.7966814205431519,enriched,0.4523277499403879,False,0.9993958332546766,False,,
TARGET5,3,ntc,30,3,10.0,300,7.0,1.6545454545454545,0.7264349266740366,enriched,0.46845695080715233,False,1.0,False,,
TARGET9,3,ntc,30,3,10.0,300,7.0,1.6545454545454545,0.7264349266740366,enriched,0.46845695080715233,False,1.0,False,,
TARGET3,12,other,30,3,10.0,270,7.037037037037037,1.6414918414918416,0.7150075794762233,enriched,0.47094852938138054,False,0.9993958332546766,False,,
TARGET4,12,other,30,3,10.0,270,7.037037037037037,1.6414918414918416,0.7150075794762233,enriched,0.47094852938138054,False,0.9993958332546766,False,,
TARGET7,8,other,30,3,10.0,270,7.037037037037037,1.6414918414918416,0.7150075794762233,enriched,0.47094852938138054,False,0.9993958332546766,False,,
TARGET7,12,other,30,3,10.0,270,7.037037037037037,1.6414918414918416,0.7150075794762233,enriched,0.47094852938138054,False,0.9993958332546766,False,,
TARGET8,12,other,30,3,10.0,270,7.037037037037037,1.6414918414918416,0.7150075794762233,enriched,0.47094852938138054,False,0.9993958332546766,False,,
TARGET9,8,other,30,3,10.0,270,7.037037037037037,1.6414918414918416,0.7150075794762233,enriched,0.47094852938138054,False,0.9993958332546766,False,,
TARGET5,1,ntc,30,4,13.333333333333334,300,9.333333333333334,1.6236345580933467,0.6992269523786603,enriched,0.5130245037856673,False,1.0,False,,
TARGET8,1,ntc,30,4,13.333333333333334,300,9.333333333333334,1.6236345580933467,0.6992269523786603,enriched,0.5130245037856673,False,1.0,False,,
TARGET9,1,ntc,30,4,13.333333333333334,300,9.333333333333334,1.6236345580933467,0.6992269523786603,enriched,0.5130245037856673,False,1.0,False,,
TARGET2,7,ntc,30,1,3.3333333333333335,300,3.0,1.56021409455843,0.6417440111162258,enriched,1.0,True,1.0,False,,
TARGET5,7,ntc,30,1,3.3333333333333335,300,3.0,1.56021409455843,0.6417440111162258,enriched,1.0,True,1.0,False,,
TARGET6,7,ntc,30,1,3.3333333333333335,300,3.0,1.56021409455843,0.6417440111162258,enriched,1.0,True,1.0,False,,
TARGET9,7,ntc,30,1,3.3333333333333335,300,3.0,1.56021409455843,0.6417440111162258,enriched,1.0,True,1.0,False,,
TARGET5,3,other,30,3,10.0,270,7.407407407407407,1.555210643015521,0.6371099971100692,enriched,0.7138541666104833,False,0.9993958332546766,False,,
TARGET9,3,other,30,3,10.0,270,7.407407407407407,1.555210643015521,0.6371099971100692,enriched,0.7138541666104833,False,0.9993958332546766,False,,
TARGET0,7,other,30,2,6.666666666666667,270,5.185185185185185,1.5517241379310345,0.6338721012021026,enriched,0.6669208595705809,False,0.9993958332546766,False,,
TARGET1,7,other,30,2,6.666666666666667,270,5.185185185185185,1.5517241379310345,0.6338721012021026,enriched,0.6669208595705809,False,0.9993958332546766,False,,
TARGET8,7,other,30,2,6.666666666666667,270,5.185185185185185,1.5517241379310345,0.6338721012021026,enriched,0.6669208595705809,False,0.9993958332546766,False,,
TARGET1,1,other,30,5,16.666666666666668,270,12.222222222222221,1.5291191103306994,0.6127007894263393,enriched,0.5599283760283069,False,0.9993958332546766,False,,
TARGET1,11,other,30,5,16.666666666666668,270,12.222222222222221,1.5291191103306994,0.6127007894263393,enriched,0.5599283760283069,False,0.9993958332546766,False,,
TARGET6,11,other,30,5,16.666666666666668,270,12.222222222222221,1.5291191103306994,0.6127007894263393,enriched,0.5599283760283069,False,0.9993958332546766,False,,
TARGET7,1,other,30,5,16.666666666666668,270,12.222222222222221,1.5291191103306994,0.6127007894263393,enriched,0.5599283760283069,False,0.9993958332546766,False,,
TARGET9,11,other,30,5,16.666666666666668,270,12.222222222222221,1.5291191103306994,0.6127007894263393,enriched,0.5599283760283069,False,0.9993958332546766,False,,
TARGET0,6,ntc,30,4,13.333333333333334,300,10.0,1.5060315496442933,0.5907519931430423,enriched,0.5308729992764676,False,1.0,False,,
TARGET2,13,ntc,30,4,13.333333333333334,300,10.333333333333334,1.4528301886792452,0.5388660861317021,enriched,0.5411886073997638,False,1.0,False,,
TARGET0,10,ntc,30,3,10.0,300,8.0,1.4363636363636363,0.5224210346524433,enriched,0.7238311749252683,False,1.0,False,,
TARGET1,6,other,30,2,6.666666666666667,270,5.925925925925926,1.353003721424774,0.43616580743986255,enriched,0.698026328617987,False,0.9993958332546766,False,,
TARGET2,0,other,30,2,6.666666666666667,270,5.925925925925926,1.353003721424774,0.43616580743986255,enriched,0.698026328617987,False,0.9993958332546766,False,,
TARGET2,6,other,30,2,6.666666666666667,270,5.925925925925926,1.353003721424774,0.43616580743986255,enriched,0.698026328617987,False,0.9993958332546766,False,,
TARGET3,6,other,30,2,6.666666666666667,270,5.925925925925926,1.353003721424774,0.43616580743986255,enriched,0.698026328617987,False,0.9993958332546766,False,,
TARGET4,6,other,30,2,6.666666666666667,270,5.925925925925926,1.353003721424774,0.43616580743986255,enriched,0.698026328617987,False,0.9993958332546766,False,,
TARGET6,0,other,30,2,6.666666666666667,270,5.925925925925926,1.353003721424774,0.43616580743986255,enriched,0.698026328617987,False,0.9993958332546766,False,,
TARGET9,0,other,30,2,6.666666666666667,270,5.925925925925926,1.353003721424774,0.43616580743986255,enriched,0.698026328617987,False,0.9993958332546766,False,,
TARGET9,6,other,30,2,6.666666666666667,270,5.925925925925926,1.353003721424774,0.43616580743986255,enriched,0.698026328617987,False,0.9993958332546766,False,,
TARGET2,11,ntc,30,3,10.0,300,8.666666666666666,1.318353344768439,0.39873709297494386,enriched,0.7369566937752935,False,1.0,False,,
TARGET3,11,ntc,30,3,10.0,300,8.666666666666666,1.318353344768439,0.39873709297494386,enriched,0.7369566937752935,False,1.0,False,,
TARGET5,11,ntc,30,3,10.0,300,8.666666666666666,1.318353344768439,0.39873709297494386,enriched,0.7369566937752935,False,1.0,False,,
TARGET7,11,ntc,30,3,10.0,300,8.666666666666666,1.318353344768439,0.39873709297494386,enriched,0.7369566937752935,False,1.0,False,,
TARGET8,11,ntc,30,3,10.0,300,8.666666666666666,1.318353344768439,0.39873709297494386,enriched,0.7369566937752935,False,1.0,False,,
TARGET1,10,other,30,2,6.666666666666667,270,6.296296296296297,1.2706766917293233,0.3455970007809947,enriched,1.0,False,1.0,False,,
TARGET2,2,other,30,2,6.666666666666667,270,6.296296296296297,1.2706766917293233,0.3455970007809947,enriched,1.0,False,1.0,False,,
TARGET3,10,other,30,2,6.666666666666667,270,6.296296296296297,1.2706766917293233,0.3455970007809947,enriched,1.0,False,1.0,False,,
TARGET5,2,other,30,2,6.666666666666667,270,6.296296296296297,1.2706766917293233,0.3455970007809947,enriched,1.0,False,1.0,False,,
TARGET8,2,other,30,2,6.666666666666667,270,6.296296296296297,1.2706766917293233,0.3455970007809947,enriched,1.0,False,1.0,False,,
TARGET2,2,ntc,30,2,6.666666666666667,300,6.333333333333333,1.2663067926225822,0.340626973940602,enriched,1.0,False,1.0,False,,
TARGET5,2,ntc,30,2,6.666666666666667,300,6.333333333333333,1.2663067926225822,0.340626973940602,enriched,1.0,False,1.0,False,,
TARGET8,2,ntc,30,2,6.666666666666667,300,6.333333333333333,1.2663067926225822,0.340626973940602,enriched,1.0,False,1.0,False,,
TARGET2,9,ntc,30,3,10.0,300,9.0,1.2657851239669422,0.34003251780084154,enriched,0.7443848270075525,False,1.0,False,,
TARGET4,9,ntc,30,3,10.0,300,9.0,1.2657851239669422,0.34003251780084154,enriched,0.7443848270075525,False,1.0,False,,
TARGET7,9,ntc,30,3,10.0,300,9.0,1.2657851239669422,0.34003251780084154,enriched,0.7443848270075525,False,1.0,False,,
TARGET6,1,ntc,30,3,10.0,300,9.333333333333334,1.2169059011164274,0.28321761403249146,enriched,0.7522589495778944,False,1.0,False,,
TARGET2,12,ntc,30,2,6.666666666666667,300,6.666666666666667,1.2002567394094994,0.26334303671332987,depleted,1.0,False,1.0,False,,
TARGET0,4,other,30,2,6.666666666666667,270,6.666666666666667,1.1972498814604078,0.259724292732828,depleted,1.0,False,1.0,False,,
TARGET7,4,other,30,2,6.666666666666667,270,6.666666666666667,1.1972498814604078,0.259724292732828,depleted,1.0,False,1.0,False,,
TARGET2,4,ntc,30,1,3.3333333333333335,300,4.0,1.1735593220338982,0.23089077023007262,depleted,1.0,False,1.0,False,,
TARGET5,0,ntc,30,1,3.3333333333333335,300,4.0,1.1735593220338982,0.23089077023007262,depleted,1.0,False,1.0,False,,
TARGET7,0,ntc,30,1,3.3333333333333335,300,4.0,1.1735593220338982,0.23089077023007262,depleted,1.0,False,1.0,False,,
TARGET8,4,ntc,30,1,3.3333333333333335,300,4.0,1.1735593220338982,0.23089077023007262,depleted,1.0,False,1.0,False,,
TARGET8,5,ntc,30,1,3.3333333333333335,300,4.0,1.1735593220338982,0.23089077023007262,depleted,1.0,False,1.0,False,,
TARGET9,5,ntc,30,1,3.3333333333333335,300,4.0,1.1735593220338982,0.23089077023007262,depleted,1.0,False,1.0,False,,
TARGET7,8,ntc,30,3,10.0,300,9.666666666666666,1.1713405238828967,0.22816054697546467,enriched,1.0,False,1.0,False,,
TARGET9,8,ntc,30,3,10.0,300,9.666666666666666,1.1713405238828967,0.22816054697546467,enriched,1.0,False,1.0,False,,
TARGET5,1,other,30,4,13.333333333333334,270,12.592592592592593,1.1640689089417555,0.2191764634403393,enriched,1.0,False,1.0,False,,
TARGET8,1,other,30,4,13.333333333333334,270,12.592592592592593,1.1640689089417555,0.2191764634403393,enriched,1.0,False,1.0,False,,
TARGET9,1,other,30,4,13.333333333333334,270,12.592592592592593,1.1640689089417555,0.2191764634403393,enriched,1.0,False,1.0,False,,
TARGET8,5,other,30,1,3.3333333333333335,270,4.074074074074074,1.1473839351510686,0.19834822366018298,depleted,1.0,False,1.0,False,,
TARGET9,5,other,30,1,3.3333333333333335,270,4.074074074074074,1.1473839351510686,0.19834822366018298,depleted,1.0,False,1.0,False,,
TARGET0,3,ntc,30,2,6.666666666666667,300,7.0,1.1403508771929824,0.18947779886371283,depleted,1.0,False,1.0,False,,
TARGET1,3,ntc,30,2,6.666666666666667,300,7.0,1.1403508771929824,0.18947779886371283,depleted,1.0,False,1.0,False,,
TARGET3,3,ntc,30,2,6.666666666666667,300,7.0,1.1403508771929824,0.18947779886371283,depleted,1.0,False,1.0,False,,
TARGET4,3,ntc,30,2,6.666666666666667,300,7.0,1.1403508771929824,0.18947779886371283,depleted,1.0,False,1.0,False,,
TARGET6,3,ntc,30,2,6.666666666666667,300,7.0,1.1403508771929824,0.18947779886371283,depleted,1.0,False,1.0,False,,
TARGET7,3,ntc,30,2,6.666666666666667,300,7.0,1.1403508771929824,0.18947779886371283,depleted,1.0,False,1.0,False,,
TARGET3,13,other,30,2,6.666666666666667,270,7.037037037037037,1.131354026090868,0.1780504516658993,depleted,1.0,False,1.0,False,,
TARGET5,13,other,30,2,6.666666666666667,270,7.037037037037037,1.131354026090868,0.1780504516658993,depleted,1.0,False,1.0,False,,
TARGET8,13,other,30,2,6.666666666666667,270,7.037037037037037,1.131354026090868,0.1780504516658993,depleted,1.0,False,1.0,False,,
TARGET7,6,ntc,30,3,10.0,300,10.0,1.12876304023845,0.1747426547968735,depleted,1.0,False,1.0,False,,
TARGET4,13,ntc,30,3,10.0,300,10.333333333333334,1.0888888888888888,0.12285674778553338,depleted,1.0,False,1.0,False,,
TARGET0,8,other,30,2,6.666666666666667,270,7.407407407407407,1.0718870346598204,0.10015286929974551,depleted,1.0,False,1.0,False,,
TARGET2,8,other,30,2,6.666666666666667,270,7.407407407407407,1.0718870346598204,0.10015286929974551,depleted,1.0,False,1.0,False,,
TARGET2,12,other,30,2,6.666666666666667,270,7.407407407407407,1.0718870346598204,0.10015286929974551,depleted,1.0,False,1.0,False,,
TARGET4,8,other,30,2,6.666666666666667,270,7.407407407407407,1.0718870346598204,0.10015286929974551,depleted,1.0,False,1.0,False,,
TARGET8,8,other,30,2,6.666666666666667,270,7.407407407407407,1.0718870346598204,0.10015286929974551,depleted,1.0,False,1.0,False,,
TARGET0,3,other,30,2,6.666666666666667,270,7.777777777777778,1.0179518563851488,0.025669331357783164,depleted,1.0,False,1.0,False,,
TARGET1,3,other,30,2,6.666666666666667,270,7.777777777777778,1.0179518563851488,0.025669331357783164,depleted,1.0,False,1.0,False,,
TARGET3,3,other,30,2,6.666666666666667,270,7.777777777777778,1.0179518563851488,0.025669331357783164,depleted,1.0,False,1.0,False,,
TARGET4,3,other,30,2,6.666666666666667,270,7.777777777777778,1.0179518563851488,0.025669331357783164,depleted,1.0,False,1.0,False,,
TARGET6,3,other,30,2,6.666666666666667,270,7.777777777777778,1.0179518563851488,0.025669331357783164,depleted,1.0,False,1.0,False,,
TARGET7,3,other,30,2,6.666666666666667,270,7.777777777777778,1.0179518563851488,0.025669331357783164,depleted,1.0,False,1.0,False,,
TARGET1,10,ntc,30,2,6.666666666666667,300,8.0,0.9899749373433584,-0.014536093157880509,depleted,1.0,False,1.0,False,,
TARGET3,10,ntc,30,2,6.666666666666667,300,8.0,0.9899749373433584,-0.014536093157880509,depleted,1.0,False,1.0,False,,
TARGET3,9,other,30,1,3.3333333333333335,270,4.814814814814815,0.9698681732580038,-0.044139428733572864,depleted,1.0,False,1.0,False,,
TARGET4,11,ntc,30,2,6.666666666666667,300,8.666666666666666,0.9086395233366436,-0.13822003483537978,depleted,1.0,False,1.0,False,,
TARGET5,9,ntc,30,2,6.666666666666667,300,9.0,0.8724082934609251,-0.1969246100094823,depleted,1.0,False,1.0,False,,
TARGET8,9,ntc,30,2,6.666666666666667,300,9.0,0.8724082934609251,-0.1969246100094823,depleted,1.0,False,1.0,False,,
TARGET2,11,other,30,3,10.0,270,12.962962962962964,0.8443021766965428,-0.24416866135895446,depleted,0.7798477053185549,False,1.0,False,,
TARGET3,11,other,30,3,10.0,270,12.962962962962964,0.8443021766965428,-0.24416866135895446,depleted,0.7798477053185549,False,1.0,False,,
TARGET5,11,other,30,3,10.0,270,12.962962962962964,0.8443021766965428,-0.24416866135895446,depleted,0.7798477053185549,False,1.0,False,,
TARGET6,1,other,30,3,10.0,270,12.962962962962964,0.8443021766965428,-0.24416866135895446,depleted,0.7798477053185549,False,1.0,False,,
TARGET7,11,other,30,3,10.0,270,12.962962962962964,0.8443021766965428,-0.24416866135895446,depleted,0.7798477053185549,False,1.0,False,,
TARGET8,11,other,30,3,10.0,270,12.962962962962964,0.8443021766965428,-0.24416866135895446,depleted,0.7798477053185549,False,1.0,False,,
TARGET0,1,ntc,30,2,6.666666666666667,300,9.333333333333334,0.8387196060326254,-0.2537395137778323,depleted,1.0,False,1.0,False,,
TARGET3,1,ntc,30,2,6.666666666666667,300,9.333333333333334,0.8387196060326254,-0.2537395137778323,depleted,1.0,False,1.0,False,,
TARGET4,1,ntc,30,2,6.666666666666667,300,9.333333333333334,0.8387196060326254,-0.2537395137778323,depleted,1.0,False,1.0,False,,
TARGET2,7,other,30,1,3.3333333333333335,270,5.555555555555555,0.8381629305631493,-0.2546973780899389,depleted,1.0,False,1.0,False,,
TARGET5,7,other,30,1,3.3333333333333335,270,5.555555555555555,0.8381629305631493,-0.2546973780899389,depleted,1.0,False,1.0,False,,
TARGET6,7,other,30,1,3.3333333333333335,270,5.555555555555555,0.8381629305631493,-0.2546973780899389,depleted,1.0,False,1.0,False,,
TARGET9,7,other,30,1,3.3333333333333335,270,5.555555555555555,0.8381629305631493,-0.2546973780899389,depleted,1.0,False,1.0,False,,
TARGET0,8,ntc,30,2,6.666666666666667,300,9.666666666666666,0.8073148974130241,-0.30879658083485906,depleted,1.0,False,1.0,False,,
TARGET2,8,ntc,30,2,6.666666666666667,300,9.666666666666666,0.8073148974130241,-0.30879658083485906,depleted,1.0,False,1.0,False,,
TARGET4,8,ntc,30,2,6.666666666666667,300,9.666666666666666,0.8073148974130241,-0.30879658083485906,depleted,1.0,False,1.0,False,,
TARGET8,8,ntc,30,2,6.666666666666667,300,9.666666666666666,0.8073148974130241,-0.30879658083485906,depleted,1.0,False,1.0,False,,
TARGET1,6,ntc,30,2,6.666666666666667,300,10.0,0.7779695139488064,-0.3622144730134504,depleted,0.7525351380399032,False,1.0,False,,
