target_gene,n_cells,overall_fraction_pct,mean_lochness_all_cells,mean_lochness_in_own_cells,max_lochness,pct_cells_enriched,top_cluster,top_cluster_mean
TARGET3,30,5.0,0.2500000298023224,0.42857152223587036,6.142857074737549,19.833333333333332,6,1.5892857313156128
TARGET0,30,5.0,0.01904764212667942,0.3809524476528168,4.714285850524902,17.166666666666668,0,1.8095238208770752
TARGET1,30,5.0,0.023809541016817093,0.2857142984867096,4.714285850524902,15.5,5,1.2619048357009888
TARGET9,30,5.0,0.1714285910129547,0.2857142686843872,4.714285850524902,20.833333333333336,13,0.7857142686843872
TARGET4,30,5.0,0.007142886985093355,0.047619063407182693,4.714285850524902,16.333333333333332,3,0.5259740352630615
TARGET6,30,5.0,-0.10952378809452057,-0.047619033604860306,4.714285850524902,12.166666666666668,8,0.680672287940979
TARGET5,30,5.0,-0.21666666865348816,-0.0952380895614624,3.2857141494750977,8.833333333333334,4,1.0089285373687744
TARGET2,30,5.0,0.03571430221199989,-0.1904761642217636,4.714285850524902,16.0,1,1.0562770366668701
TARGET7,30,5.0,-0.1738094985485077,-0.3809523284435272,3.2857141494750977,12.333333333333334,1,0.2770562767982483
TARGET8,30,5.0,-0.21904759109020233,-0.476190447807312,3.2857141494750977,8.333333333333332,7,0.20000003278255463
