rank,target_gene,n_perturbed,n_control_ntc,mean_lognorm_perturbed_ntc,mean_lognorm_control_ntc,log2fc_ntc,pct_knockdown_ntc,pct_cells_expressing_perturbed_ntc,pct_cells_expressing_control_ntc,ks_stat_ntc,ks_pval_ntc,mwu_pval_less_ntc,n_control_other,mean_lognorm_perturbed_other,mean_lognorm_control_other,log2fc_other,pct_knockdown_other,pct_cells_expressing_perturbed_other,pct_cells_expressing_control_other,ks_stat_other,ks_pval_other,mwu_pval_less_other,ks_fdr_ntc,mwu_fdr_ntc,is_hit_ntc,ks_fdr_other,mwu_fdr_other,is_hit_other
1,TARGET1,30,300,0.0,0.8089783847332,-7.2739073480521785,99.35384649783012,0.0,79.0,0.79,3.9412026071501245e-18,2.687779188348477e-13,270,0.0,0.7710028100896764,-7.1662177125024495,99.30376874904367,0.0,77.77777777777779,0.7777777777777778,3.040679018048452e-17,7.017096130021137e-13,1.9706013035750623e-17,1.3438895941742384e-12,True,1.520339509024226e-16,3.5085480650105684e-12,True
2,TARGET0,30,300,0.0,0.7702722899119059,-7.1601824773747715,99.30085009998102,0.0,79.33333333333333,0.7933333333333333,2.5481004383766344e-18,2.1904209226700356e-13,270,0.0,0.800425308059763,-7.258081604063439,99.34671945302908,0.0,79.62962962962963,0.7962962962962963,2.9008385420456354e-18,2.2996178320677897e-13,1.9706013035750623e-17,1.3438895941742384e-12,True,2.900838542045635e-17,2.2996178320677896e-12,True
3,TARGET7,30,300,0.6978845040003459,0.8686968559026718,-0.34712126762023593,21.38487916059477,66.66666666666666,82.33333333333334,0.18333333333333332,0.2893163990164772,0.056241673957751204,270,0.6978845040003459,0.7680811590618557,-0.1494777877333082,9.842325274593088,66.66666666666666,74.44444444444444,0.08888888888888889,0.9738205885937189,0.2716189896160912,0.472134053486709,0.18747224652583735,False,0.9993074630929705,0.5470075878660163,False
4,TARGET5,30,300,0.6853743672370911,0.7748206682999929,-0.31312238747144633,19.51021467971049,76.66666666666667,73.33333333333333,0.24333333333333335,0.06837399993783032,0.09845533173511656,270,0.6853743672370911,0.8136305952513659,-0.3267073505060159,20.264579722349218,76.66666666666667,81.48148148148148,0.22592592592592592,0.11194684818844589,0.04355154434051453,0.22791333312610107,0.2461383293377914,False,0.22389369637689177,0.14517181446838176,False
5,TARGET2,30,300,0.7170016507307688,0.7876324212551117,-0.22995022212070568,14.733568892461324,76.66666666666667,75.33333333333333,0.16666666666666666,0.40001241790509984,0.2238371430230922,270,0.7170016507307688,0.7750712633132935,-0.17520068401288452,11.435568574153965,76.66666666666667,77.4074074074074,0.11481481481481481,0.8385601842452518,0.3129126988482285,0.472134053486709,0.442238057224369,False,0.9993074630929705,0.5470075878660163,False
6,TARGET6,30,300,0.7627124230066935,0.8089704988400142,-0.1418363890423242,9.363527993375609,80.0,79.33333333333333,0.17666666666666667,0.33075458325005264,0.2653428343346214,270,0.7627124230066935,0.8049976225252504,-0.14839773284442268,9.774804632290179,80.0,78.14814814814814,0.18518518518518517,0.2844270039361069,0.3282045527196098,0.472134053486709,0.442238057224369,False,0.47404500656017823,0.5470075878660163,False
7,TARGET4,30,300,0.7565609971682231,0.7661402664581934,-0.04555171630683767,3.1080788592665054,76.66666666666667,74.33333333333333,0.08,0.9905663967621381,0.38574571201348373,270,0.7565609971682231,0.755308664728094,-0.0011943327710381565,0.08275058209537,76.66666666666667,75.18518518518519,0.06666666666666667,0.9993074630929706,0.42903381626353276,0.9905663967621381,0.5510653028764053,False,0.9993074630929705,0.6129054518050469,False
8,TARGET9,30,300,0.8293951650460561,0.783807409008344,0.13000075287723362,-9.429427232323452,76.66666666666667,77.66666666666666,0.16333333333333333,0.4249206481380381,0.7437694697168389,270,0.8293951650460561,0.7735192188510188,0.13683356553876444,-9.94893009786104,76.66666666666667,77.03703703703704,0.17407407407407408,0.35443679601922834,0.7757269534587904,0.472134053486709,0.85983305624539,False,0.5063382800274691,0.969658691823488,False
9,TARGET8,30,300,0.9179668843746185,0.8390690461794535,0.27311792378655625,-20.841661356313534,76.66666666666667,81.33333333333333,0.17333333333333334,0.3529055149874407,0.8598330562453899,270,0.9179668843746185,0.745787016109184,0.49134004419727917,-40.57499973872294,76.66666666666667,76.29629629629629,0.24444444444444444,0.06877077363337883,0.9755748717557297,0.472134053486709,0.85983305624539,False,0.17192693408344706,0.9755748717557295,False
10,TARGET3,30,300,0.8892171442508697,0.7891745915015539,0.29229069764733356,-22.45831164538499,76.66666666666667,77.33333333333333,0.18666666666666668,0.2700300807820738,0.8380007371429339,270,0.8892171442508697,0.7433434762336589,0.4184367913675884,-33.647865036107774,76.66666666666667,77.4074074074074,0.26666666666666666,0.03636650445059628,0.9380621672966014,0.472134053486709,0.85983305624539,False,0.1212216815019876,0.9755748717557295,False
