target_gene,n_perturbed_cells,n_control_cells,mean_ps,median_ps,pct_high_ps,pct_successful_kd,pct_escaper,pct_non_responder,pct_low_signal,pct_controls_called_kd,net_pct_kd,expression_cut,expression_cut_method,log2fc_ntc,is_hit_ntc
TARGET0,30,300,0.4993847967546145,0.43969583778211074,43.333333333333336,43.333333333333336,0.0,0.0,56.666666666666664,1.3333333333333335,42.0,0.7702722899119059,mean,-7.1601824773747715,True
TARGET5,30,300,0.49702300161752533,0.5122278564246399,50.0,43.333333333333336,6.666666666666667,23.333333333333332,26.666666666666668,1.6666666666666667,41.66666666666667,0.7748206682999929,mean,-0.31312238747144633,False
TARGET1,30,300,0.5126787969985477,0.4606497547450778,36.666666666666664,36.666666666666664,0.0,0.0,63.33333333333333,3.0,33.666666666666664,0.8089783847332,mean,-7.2739073480521785,True
TARGET2,30,300,0.4752488461274164,0.47731964122085047,50.0,33.33333333333333,16.666666666666664,13.333333333333334,36.666666666666664,3.3333333333333335,29.999999999999996,0.7876324212551117,mean,-0.22995022212070568,False
TARGET4,30,300,0.5284840690201819,0.5396167640677358,53.333333333333336,30.0,23.333333333333332,16.666666666666664,30.0,1.6666666666666667,28.333333333333332,0.7661402664581934,mean,-0.04555171630683767,False
TARGET3,30,300,0.5421820260486463,0.5377978138697469,56.666666666666664,26.666666666666668,30.0,33.33333333333333,10.0,2.3333333333333335,24.333333333333336,0.7891745915015539,mean,0.29229069764733356,False
TARGET6,30,300,0.5156553434478837,0.5539571494824919,60.0,26.666666666666668,33.33333333333333,10.0,30.0,3.0,23.666666666666668,0.8089704988400142,mean,-0.1418363890423242,False
TARGET9,30,300,0.4772616270539571,0.4580070805274499,43.333333333333336,26.666666666666668,16.666666666666664,36.666666666666664,20.0,2.0,24.666666666666668,0.783807409008344,mean,0.13000075287723362,False
TARGET8,30,300,0.45681572126177156,0.4353319518702099,43.333333333333336,20.0,23.333333333333332,36.666666666666664,20.0,3.3333333333333335,16.666666666666668,0.8390690461794535,mean,0.27311792378655625,False
TARGET7,30,300,0.4269984708924206,0.4571896968551943,33.33333333333333,13.333333333333334,20.0,23.333333333333332,43.333333333333336,1.0,12.333333333333334,0.8686968559026718,mean,-0.34712126762023593,False
